UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
75	0
545	0
1	0
177	0
127	0
0	0
15	0
20	0
0	0
0	0
3	0
930	0
49	0
0	0
0	0
0	0
3	0
2	0
0	0
727	0
11	0
212	0
503	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
782	0
0	0
0	0
1	0
0	0
32	0
31	0
0	0
0	0
21	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
113	0
0	0
21	0
0	0
0	0
59	0
1	0
3	0
4	0
0	0
0	0
0	0
5	0
1	0
26	0
33	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
881	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
4	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
167	0
69	0
443	0
101	0
209	0
0	0
123	0
130	0
0	0
3	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
205	0
0	0
53	0
59	0
4	0
0	0
5	0
1	0
6	0
0	0
25	0
19	0
15	0
29	0
16	0
67	0
0	0
1	0
6	0
0	0
0	0
19	0
0	0
0	0
6	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
269	0
5	0
11	0
4	0
17	0
68	0
16	0
1	0
3	0
2	0
3	0
1	0
9	0
3	0
10	0
3	0
9	0
2	0
9	0
6	0
9	0
4	0
1	0
1	0
89	0
1	0
0	0
6	0
10	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
91	0
673	0
8	0
35	0
35	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
59	0
1	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
450	0
