UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
150	0
631	0
5	0
244	0
164	0
0	0
12	0
13	0
0	0
0	0
1	0
1272	0
34	0
0	0
0	0
0	0
12	0
2	0
0	0
1096	0
22	0
179	0
504	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
612	0
0	0
0	0
0	0
0	0
27	0
17	0
0	0
0	0
26	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
101	0
1	0
18	0
0	0
0	0
43	0
0	0
3	0
1	0
0	0
0	0
0	0
2	0
0	0
16	0
32	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
887	0
0	0
0	0
5	0
0	0
0	0
2	0
0	0
9	0
16	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
121	0
65	0
462	0
129	0
184	0
0	0
131	0
123	0
0	0
0	0
5	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
214	0
0	0
50	0
80	0
6	0
0	0
8	0
2	0
9	0
0	0
40	0
34	0
9	0
21	0
10	0
34	0
0	0
0	0
6	0
0	0
0	0
15	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
195	0
3	0
7	0
5	0
14	0
46	0
9	0
5	0
8	0
2	0
2	0
4	0
8	0
4	0
10	0
4	0
11	0
2	0
9	0
4	0
9	0
2	0
1	0
2	0
3	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
94	0
564	0
12	0
30	0
21	0
0	0
0	0
0	0
0	0
2	0
4	0
0	0
49	0
5	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
